device_name,longitude,latitude,adcode,citycode,device_id,device_token
beijing,116.40528,39.90498,110000,10,cf0c6c10-70b6-11ed-83f6-cd76e8b0f552,QrisOmRn38wuueBhdL0B
shanghai,121.47264,31.23170,310000,21,cf965c90-70b6-11ed-83f6-cd76e8b0f552,tJQHBMaeX5GwOj2BO7Tj
guangzhou,113.28064,23.12517,440100,20,cfdbca00-70b6-11ed-83f6-cd76e8b0f552,UyGB0iBi0cLGXSCa8g2a
shenzhen,114.08594,22.54700,440300,755,d01d66e0-70b6-11ed-83f6-cd76e8b0f552,CSlUzhQrmYO03VCtV7fw
hongkong,114.17700,22.30699,810000,1852,d063e5c0-70b6-11ed-83f6-cd76e8b0f552,mzx4lO2RDUYyC6qWWwIa
macao,113.54399,22.20200,820000,1853,d09e7dc0-70b6-11ed-83f6-cd76e8b0f552,IkGDuBfVQ2YUwzsj3gsY
hangzhou,120.15358,30.28745,330100,571,d0debb10-70b6-11ed-83f6-cd76e8b0f552,CutEN9lmWn5V7ypvv3En
chengdu,104.06573,30.65946,510100,28,d1236530-70b6-11ed-83f6-cd76e8b0f552,9gb40WYJeDfJnkkdUjLL
qingdao,120.35517,36.08298,370200,532,d1629110-70b6-11ed-83f6-cd76e8b0f552,XaeuFd5TR1FFFQoJMp1j
zhuhai,113.55398,22.22497,440400,756,d1a4ca30-70b6-11ed-83f6-cd76e8b0f552,e63S8ptNa3OsXlujLiyC
